id,first_capture
459818,20150109
461821,20141230
461822,20141230
463733,20150109
479669,20150118
479675,20150118
479676,20150118
479677,20150117
479679,20150117
479680,20150118
479681,20150118
479682,20150118
479689,20150118
479690,20150118
482006,20150908
482007,20150908
482008,20150908
482009,20150908
482010,20150908
482011,20150908
482012,20150906
482013,20150906
482014,20150228
482015,20150420
482016,20150420
482455,20150905
482456,20150905
482458,20150906
482459,20150905
482460,20150906
482461,20150906
482465,20151023
482467,20150905
482468,20150906
482469,20150905
482470,20150905
482474,20150906
482475,20150912
482476,20150911
482477,20150905
482479,20150905
482481,20150905
482482,20150905
482483,20150905
482484,20150905
482485,20150905
482486,20150905
482487,20150905
482488,20150905
482489,20150905
482490,20150905
482491,20150905
482492,20150905
482493,20150906
482494,20150905
482495,20150905
482496,20150905
482497,20150905
482498,20150905
482499,20150905
482500,20150905
482501,20150905
482502,20150905
482503,20150905
482504,20150906
482775,20150505
483016,20150415
483017,20150415
483018,20150415
483019,20150415
483020,20150415
483021,20150415
483022,20150908
483023,20150415
483024,20150415
483025,20150415
483026,20150415
483027,20150415
483028,20150415
483029,20150415
483030,20150415
483031,20150415
483032,20150415
483033,20150415
483034,20150415
483035,20150415
483036,20150415
483037,20150415
483038,20150415
483039,20150415
483040,20150415
483041,20150905
483042,20150905
483043,20150905
483044,20150505
483045,20150905
483046,20150906
483047,20150906
483048,20150905
483049,20150505
483050,20150505
483051,20150505
483052,20150905
483053,20150905
483054,20150906
483055,20150906
483056,20150915
483057,20150908
483058,20150219
484721,20150112
484763,20150118
485331,20150505
485332,20150505
485333,20150505
485334,20150505
485335,20150505
485336,20150505
485457,20251106
486224,20150118
486225,20150118
486226,20150118
486227,20150118
486228,20150118
486231,20150118
486232,20150118
486239,20150118
486240,20150117
486241,20150118
486249,20150117
486250,20150118
486252,20150118
486254,20150118
486259,20150118
490340,20150905
493336,20191113
493442,20150906
493465,20150219
493483,20150125
493500,20150906
493501,20150906
493502,20150906
493503,20150906
495571,20150505
495572,20150906
495573,20150413
495574,20150906
495575,20150227
495576,20150217
499339,20150121
499411,20151009
499412,20151009
499413,20151009
502392,20150220
502393,20150220
502394,20150219
502395,20150219
502396,20150220
502397,20150220
502398,20150219
502399,20150220
502400,20150219
502401,20150219
502402,20150220
502403,20150220
502404,20150220
502405,20150220
502406,20150219
502407,20150219
502408,20150220
502409,20150219
502410,20150220
502411,20150219
502412,20150220
502413,20150219
502414,20150219
502415,20150220
502416,20150219
508956,20150505
508957,20150505
508958,20150505
508959,20150505
